iter	MultiClass
0	2.381496576
1	2.249942711
2	2.119148871
3	2.011743963
4	1.928298354
5	1.860360764
6	1.800417207
7	1.748898773
8	1.693815692
9	1.657710724
10	1.60847458
11	1.568366824
12	1.538025601
13	1.503302095
14	1.468731777
15	1.431128842
16	1.40194067
17	1.374300851
18	1.354155569
19	1.336012759
20	1.309521449
21	1.279752941
22	1.25583049
23	1.238582525
24	1.21690994
25	1.196260205
26	1.180757747
27	1.162466234
28	1.149503461
29	1.132098277
30	1.115354343
31	1.098317047
32	1.083184675
33	1.07167073
34	1.058640666
35	1.041639559
36	1.027497986
37	1.018030717
38	1.008813083
39	0.9974772214
40	0.9886791041
41	0.9807232393
42	0.9695654966
43	0.9619002849
44	0.9530847045
45	0.9440491431
46	0.9331330835
47	0.9254623838
48	0.9169450247
49	0.9082663821
50	0.9009788882
51	0.8909245866
52	0.8827332419
53	0.8729066797
54	0.8632780009
55	0.8537298012
56	0.8463545911
57	0.8379592988
58	0.8310086689
59	0.8239795195
60	0.8146661644
61	0.8080427431
62	0.801065165
63	0.7963953286
64	0.787782237
65	0.7800600189
66	0.7734500573
67	0.7677688611
68	0.7601984117
69	0.7532747833
70	0.7470350802
71	0.7415816558
72	0.7344118041
73	0.7296757326
74	0.7218865844
75	0.7129331181
76	0.7067673607
77	0.7021869656
78	0.6964923091
79	0.6874909213
80	0.6816286997
81	0.6764095128
82	0.6692844566
83	0.6620822417
84	0.6569387173
85	0.650058182
86	0.6447436819
87	0.6387759795
88	0.6326737047
89	0.6263126473
90	0.6205762374
91	0.6146477
92	0.6090529212
93	0.6049010967
94	0.599813834
95	0.5947089615
96	0.5904768858
97	0.5865538384
98	0.5809798092
99	0.5760094329
100	0.5684170793
101	0.5633194447
102	0.5596718101
103	0.5549706407
104	0.549909109
105	0.5458530936
106	0.5404338326
107	0.5356918084
108	0.533348844
109	0.5288980687
110	0.5250843991
111	0.5212148758
112	0.5170716182
113	0.5122910078
114	0.5071358284
115	0.5040749698
116	0.4991847032
117	0.4956238132
118	0.4915327844
119	0.4889962101
120	0.4849165379
121	0.4814415726
122	0.4770847234
123	0.4729598582
124	0.4690122104
125	0.4654711715
126	0.4630200077
127	0.4608585517
128	0.4579473779
129	0.4564943125
130	0.453830548
131	0.4514669592
132	0.4482433597
133	0.4442738114
134	0.4414261929
135	0.4379699212
136	0.4355419146
137	0.432762638
138	0.4288647642
139	0.4264952806
140	0.4251438957
141	0.4212577875
142	0.4188055046
143	0.4156964001
144	0.4138680172
145	0.4107764437
146	0.4095801618
147	0.4063092667
148	0.4051221956
149	0.4020848834
150	0.399614294
151	0.3976194979
152	0.3949332124
153	0.3931421312
154	0.3912465038
155	0.3897247666
156	0.388150753
157	0.38563081
158	0.3826747478
159	0.3806799801
160	0.3788853393
161	0.3775569219
162	0.3764997043
163	0.3742412682
164	0.37171057
165	0.3693457797
166	0.3668050271
167	0.3650410281
168	0.3619983536
169	0.3598100318
170	0.3568691962
171	0.355418485
172	0.3531663365
173	0.3521612737
174	0.3502019619
175	0.3491731559
176	0.3468211422
177	0.3443278916
178	0.3427481584
179	0.3408600876
180	0.338857967
181	0.3357202931
182	0.3337585547
183	0.3322388931
184	0.3304181869
185	0.3291010907
186	0.3274396842
187	0.325123128
188	0.3224766724
189	0.3207782311
190	0.3194574587
191	0.3167465184
192	0.3148494733
193	0.3136238579
194	0.3121531218
195	0.310227818
196	0.3087922454
197	0.3076884642
198	0.3054271221
199	0.3032652424
200	0.3014729521
201	0.3000929584
202	0.2976254202
203	0.2956961168
204	0.2934394944
205	0.2919155589
206	0.2903567295
207	0.2897011892
208	0.2885003228
209	0.2870675163
210	0.2852791178
211	0.2838403127
212	0.282816615
213	0.2822300769
214	0.2804038493
215	0.2786522974
216	0.2776731811
217	0.2753575488
218	0.273788161
219	0.2717733524
220	0.2703686753
221	0.2692110206
222	0.2680124146
223	0.2665530125
224	0.2648839933
225	0.2631116907
226	0.2618033181
227	0.2603887184
228	0.2595099422
229	0.2575993683
230	0.2565014658
231	0.2550659295
232	0.2541897093
233	0.253149396
234	0.2519060846
235	0.2506181099
236	0.2498785943
237	0.248973729
238	0.2475056062
239	0.2460728999
240	0.2454325631
241	0.2441408456
242	0.2437299103
243	0.2425245077
244	0.241352822
245	0.2407426899
246	0.2397659757
247	0.2389529955
248	0.2378159062
249	0.236382774
250	0.2350416372
251	0.2338006375
252	0.2324531219
253	0.2318008286
254	0.2314170802
255	0.230490481
256	0.2300804439
257	0.2290826451
258	0.2276786493
259	0.2260521315
260	0.2243584525
261	0.2236383464
262	0.2227672034
263	0.2218301376
264	0.2209589744
265	0.2199113743
266	0.2190759707
267	0.2185739229
268	0.2175338484
269	0.2162260915
270	0.2156970469
271	0.2146850593
272	0.2140832428
273	0.2129592835
274	0.2125095034
275	0.2116218359
276	0.2104324569
277	0.2093977005
278	0.2083825134
279	0.2077797416
280	0.2063989241
281	0.2056289815
282	0.2054836957
283	0.2047364127
284	0.2037091398
285	0.2027116445
286	0.2013735687
287	0.1999118792
288	0.1989802006
289	0.1981724676
290	0.1977154418
291	0.1967346196
292	0.1959693939
293	0.1951542595
294	0.1938821456
295	0.1934810987
296	0.1928110694
297	0.1918778988
298	0.1911094608
299	0.1901865342
300	0.1892606606
301	0.1888089424
302	0.1883029
303	0.1870458955
304	0.1856959686
305	0.1847875064
306	0.1839214584
307	0.1830176067
308	0.1820077906
309	0.1816310388
310	0.1806731091
311	0.1797395728
312	0.1788679172
313	0.1777787095
314	0.1771805584
315	0.176328121
316	0.1756838868
317	0.1751468818
318	0.174202068
319	0.1735534875
320	0.1724313772
321	0.171293628
322	0.1707887257
323	0.1699714785
324	0.1695984439
325	0.1690281303
326	0.168272795
327	0.1674227021
328	0.1666911824
329	0.1657125565
330	0.1648008758
331	0.1638781058
332	0.1627087394
333	0.1624278184
334	0.161818671
335	0.1608095848
336	0.1600453472
337	0.159148423
338	0.1585658953
339	0.1574985355
340	0.1570503497
341	0.1564348389
342	0.1555487159
343	0.1551682081
344	0.1544009011
345	0.1536878406
346	0.1529243224
347	0.1523472294
348	0.1518206572
349	0.1511619017
350	0.1507568235
351	0.1500681249
352	0.1494868508
353	0.1488761865
354	0.1479962342
355	0.14759784
356	0.1471943603
357	0.1464625235
358	0.1460684244
359	0.1455062513
360	0.1449159262
361	0.1444215691
362	0.1440214935
363	0.1433001081
364	0.1428167753
365	0.1421070408
366	0.1415999362
367	0.1409894127
368	0.1404582907
369	0.13976888
370	0.1393189989
371	0.1386626477
372	0.1381818584
373	0.1376811859
374	0.1372326767
375	0.1367277763
376	0.1364410722
377	0.1358208562
378	0.1355691302
379	0.1351598195
380	0.1349621062
381	0.1346118297
382	0.1341468718
383	0.1336947868
384	0.1332341218
385	0.1328296096
386	0.1322854345
387	0.1319066979
388	0.1315254171
389	0.1308270257
390	0.1303004899
391	0.1297743451
392	0.1292082645
393	0.1287425705
394	0.1281944964
395	0.1278920458
396	0.1274594324
397	0.1272410181
398	0.1268693992
399	0.1265469844
400	0.1259493031
401	0.1253972706
402	0.124945196
403	0.1243174894
404	0.1238085012
405	0.1233288513
406	0.1227472235
407	0.1222754293
408	0.1216479173
409	0.1210156164
410	0.1204492938
411	0.1202574554
412	0.119683408
413	0.1193833597
414	0.1188288091
415	0.1182586564
416	0.1179711067
417	0.1176100014
418	0.1170099131
419	0.1164973619
420	0.116176877
421	0.1156112012
422	0.1151366963
423	0.1146959159
424	0.1141854784
425	0.1136978418
426	0.1132060931
427	0.1127773237
428	0.1125033857
429	0.1121630887
430	0.1117753094
431	0.111526126
432	0.1111951251
433	0.1108522726
434	0.1104116765
435	0.1100003306
436	0.1094217329
437	0.1089837923
438	0.1086158849
439	0.1081123173
440	0.107878732
441	0.1074637307
442	0.1071201691
443	0.1067983898
444	0.1066084182
445	0.1061868609
446	0.1057981571
447	0.1056416333
448	0.1052643141
449	0.1049677904
450	0.104736982
451	0.1043556091
452	0.1039214201
453	0.1038413688
454	0.1034912012
455	0.103058612
456	0.1027190023
457	0.1023772709
458	0.1020599279
459	0.1014247004
460	0.1011218863
461	0.1008325947
462	0.1004489362
463	0.1000775157
464	0.09967709964
465	0.09933322595
466	0.09917177808
467	0.09892715181
468	0.09860334165
469	0.09819681382
470	0.09787058415
471	0.09746371858
472	0.09711239633
473	0.09692051668
474	0.09672170228
475	0.09639336265
476	0.09610364449
477	0.09586277162
478	0.09561415939
479	0.09545649313
480	0.09520937309
481	0.09489427786
482	0.09460082188
483	0.09436740706
484	0.09419213466
485	0.09408440485
486	0.09383966713
487	0.09361461587
488	0.09309638109
489	0.09287195405
490	0.0925042784
491	0.09223321643
492	0.09195755247
493	0.09182762901
494	0.0914062467
495	0.09106952168
496	0.09087901683
497	0.09061305274
498	0.09033377164
499	0.08999885197
500	0.08972347974
501	0.08948416333
502	0.08924910895
503	0.08895720187
504	0.08889577473
505	0.088672017
506	0.08847218405
507	0.08813750941
508	0.08787642008
509	0.08770313028
510	0.08745947344
511	0.08713824665
512	0.08694186775
513	0.08668696606
514	0.08644845688
515	0.08625359121
516	0.08600337562
517	0.085770234
518	0.08554900956
519	0.08523425086
520	0.0849534629
521	0.08475582024
522	0.08455636013
523	0.08427864684
524	0.08406025483
525	0.08372994277
526	0.08338556632
527	0.0830609253
528	0.08281511949
529	0.08270816481
530	0.08248809123
531	0.0823200963
532	0.08221500044
533	0.08210899473
534	0.08184034341
535	0.08152539265
536	0.08128483575
537	0.08109381707
538	0.08081231929
539	0.08064442069
540	0.08055708154
541	0.08043135037
542	0.08016608155
543	0.07998456852
544	0.07985284143
545	0.07964004658
546	0.07944863097
547	0.07917245134
548	0.07901736859
549	0.07863423023
550	0.07838061814
551	0.07806209666
552	0.07796998042
553	0.07780707492
554	0.07759634914
555	0.07748285333
556	0.07731263952
557	0.07711357392
558	0.07696590073
559	0.07672980689
560	0.0766206322
561	0.07643828029
562	0.07628827506
563	0.07613517482
564	0.07603373566
565	0.07574880815
566	0.07551984026
567	0.07536075129
568	0.07519001891
569	0.07509472042
570	0.07488663167
571	0.07469942857
572	0.07443868379
573	0.07421358367
574	0.07404697062
575	0.07387174219
576	0.07369603342
577	0.0735551852
578	0.07341999288
579	0.07320830926
580	0.07300886633
581	0.07291591688
582	0.07270113973
583	0.07248944688
584	0.07231975643
585	0.07205534951
586	0.07177905696
587	0.07165036365
588	0.07145462818
589	0.07132814491
590	0.07105942956
591	0.07097483103
592	0.07077590315
593	0.07053406542
594	0.07033919588
595	0.07024518662
596	0.06996185326
597	0.06974803296
598	0.06947251919
599	0.06929344801
600	0.06905692655
601	0.06897772438
602	0.06888177117
603	0.06871678515
604	0.06844142344
605	0.06839606778
606	0.06822019077
607	0.06804761776
608	0.06792239889
609	0.06774686692
610	0.06764932309
611	0.06745512929
612	0.06735471341
613	0.06722281166
614	0.06710170721
615	0.06695945235
616	0.06682785738
617	0.0666755008
618	0.06653155901
619	0.06639622331
620	0.06620924327
621	0.0661039417
622	0.06588537655
623	0.06579602961
624	0.06571278719
625	0.06552045509
626	0.06543948321
627	0.06531213109
628	0.06519826761
629	0.0650913963
630	0.06502148263
631	0.06490815317
632	0.06477852622
633	0.06462908148
634	0.06447191914
635	0.06436973231
636	0.06413990054
637	0.06398484768
638	0.06386453495
639	0.06371015142
640	0.06361899671
641	0.06344656257
642	0.06336763323
643	0.06323760429
644	0.06312182213
645	0.06298574675
646	0.06282883839
647	0.06266504413
648	0.06249635679
649	0.06233908166
650	0.06220874185
651	0.06197971238
652	0.06185939147
653	0.0617695902
654	0.06166496949
655	0.06149824272
656	0.06138665777
657	0.06128652353
658	0.0610932246
659	0.06096833996
660	0.06081968659
661	0.06076493168
662	0.06063135355
663	0.06051254139
664	0.06035539451
665	0.06020455831
666	0.06001683149
667	0.05990177334
668	0.05973535363
669	0.05966263927
670	0.05949938128
671	0.05941740036
672	0.0592996288
673	0.0592045664
674	0.05906252017
675	0.05888689039
676	0.05875015596
677	0.05861635747
678	0.05848655301
679	0.0583150283
680	0.05808341325
681	0.05795072959
682	0.0578211434
683	0.05770057087
684	0.05762317086
685	0.05743942762
686	0.05733212754
687	0.05720048968
688	0.05712637014
689	0.05696848678
690	0.05688992027
691	0.05675219646
692	0.05664962476
693	0.05653545463
694	0.05644654963
695	0.05631024846
696	0.056194671
697	0.05605872365
698	0.05593922996
699	0.05581288572
700	0.05573287936
701	0.05562309354
702	0.05547003946
703	0.05532001178
704	0.05515687252
705	0.05506902552
706	0.0548881891
707	0.05477746916
708	0.05468875244
709	0.05460442046
710	0.0544810678
711	0.05439892568
712	0.05429061231
713	0.0541445307
714	0.05404207981
715	0.05395239973
716	0.05380945111
717	0.05370569587
718	0.05362988685
719	0.05349724963
720	0.05340978162
721	0.05330417193
722	0.05318122274
723	0.05309134219
724	0.05302381383
725	0.05292872412
726	0.05280024568
727	0.05270508853
728	0.05255086119
729	0.05238912378
730	0.052271984
731	0.05213658683
732	0.05201153517
733	0.05194015409
734	0.05183910766
735	0.05177211082
736	0.05166885609
737	0.05153926602
738	0.05142801997
739	0.05129800201
740	0.05120675475
741	0.0510791172
742	0.05096236366
743	0.05086871247
744	0.05076625505
745	0.05067404047
746	0.05062076455
747	0.0505088901
748	0.05038197737
749	0.05025238095
750	0.05015198339
751	0.05007480154
752	0.04997361375
753	0.04992458601
754	0.04982746361
755	0.04970617713
756	0.04962411354
757	0.04954692129
758	0.04943927702
759	0.0493116776
760	0.04920221206
761	0.04910690336
762	0.04898860642
763	0.04889834322
764	0.04877188411
765	0.04867292574
766	0.04856069306
767	0.04845366479
768	0.04836759691
769	0.04828860817
770	0.04820951983
771	0.04810797049
772	0.04800609408
773	0.04795642788
774	0.04786412248
775	0.04777829301
776	0.04774524731
777	0.04760404137
778	0.04754278731
779	0.04742422056
780	0.04731196602
781	0.0472325414
782	0.04716206343
783	0.04708556544
784	0.04699269965
785	0.04689727447
786	0.04680492456
787	0.0467053876
788	0.04658195227
789	0.04647579516
