iter	Passed	Remaining
0	55	54948
1	110	55013
2	167	55551
3	223	55617
4	278	55388
5	333	55248
6	387	54942
7	442	54828
8	499	54997
9	556	55120
10	609	54819
11	666	54868
12	722	54871
13	781	55032
14	838	55049
15	894	55024
16	951	55000
17	1008	55018
18	1063	54918
19	1118	54815
20	1176	54858
21	1232	54776
22	1299	55198
23	1354	55070
24	1416	55253
25	1470	55088
26	1524	54940
27	1581	54915
28	1637	54841
29	1692	54725
30	1756	54903
31	1813	54872
32	1868	54751
33	1931	54891
34	1990	54868
35	2053	54978
36	2114	55031
37	2170	54945
38	2231	54997
39	2290	54980
40	2344	54837
41	2402	54788
42	2460	54756
43	2513	54604
44	2575	54649
45	2631	54571
46	2689	54535
47	2746	54465
48	2802	54382
49	2865	54453
50	2918	54313
51	2982	54365
52	3041	54352
53	3100	54308
54	3159	54277
55	3216	54215
56	3274	54169
57	3331	54104
58	3388	54039
59	3446	53998
60	3505	53961
61	3563	53918
62	3623	53886
63	3680	53824
64	3742	53829
65	3802	53805
66	3860	53753
67	3917	53688
68	3976	53659
69	4036	53628
70	4090	53518
71	4146	53446
72	4206	53412
73	4265	53375
74	4325	53352
75	4381	53268
76	4434	53153
77	4490	53085
78	4541	52949
79	4599	52897
80	4657	52847
81	4710	52737
82	4766	52663
83	4826	52627
84	4886	52598
85	4943	52543
86	4999	52469
87	5053	52375
88	5110	52309
89	5164	52220
90	5220	52150
91	5278	52091
92	5335	52034
93	5393	51983
94	5443	51857
95	5500	51792
96	5552	51694
97	5606	51603
98	5662	51536
99	5721	51494
100	5780	51455
101	5836	51383
102	5892	51313
103	5946	51230
104	6011	51238
105	6064	51150
106	6121	51091
107	6178	51028
108	6239	51000
109	6293	50916
110	6349	50854
111	6405	50784
112	6460	50710
113	6515	50640
114	6572	50582
115	6631	50538
116	6695	50532
117	6751	50460
118	6805	50386
119	6866	50351
120	6921	50279
121	6974	50194
122	7032	50141
123	7088	50075
124	7145	50016
125	7202	49961
126	7256	49878
127	7312	49815
128	7375	49796
129	7430	49728
130	7483	49644
131	7538	49572
132	7592	49493
133	7657	49487
134	7719	49459
135	7776	49401
136	7830	49329
137	7883	49242
138	7939	49177
139	7995	49114
140	8051	49048
141	8107	48990
142	8164	48931
143	8223	48883
144	8280	48827
145	8339	48781
146	8391	48693
147	8444	48612
148	8499	48546
149	8551	48460
150	8607	48396
151	8663	48331
152	8719	48269
153	8780	48235
154	8839	48190
155	8895	48128
156	8950	48059
157	9007	48002
158	9067	47960
159	9124	47904
160	9178	47833
161	9236	47779
162	9291	47711
163	9346	47642
164	9399	47566
165	9451	47484
166	9510	47439
167	9566	47375
168	9618	47296
169	9674	47232
170	9731	47176
171	9786	47114
172	9842	47050
173	9898	46987
174	9951	46915
175	10006	46847
176	10060	46778
177	10116	46717
178	10172	46654
179	10226	46589
180	10281	46523
181	10338	46466
182	10394	46407
183	10452	46352
184	10508	46293
185	10563	46229
186	10618	46164
187	10675	46110
188	10737	46076
189	10808	46077
190	10868	46036
191	10949	46080
192	11036	46149
193	11119	46198
194	11192	46204
195	11266	46217
196	11342	46231
197	11417	46244
198	11486	46236
199	11549	46199
200	11615	46174
201	11679	46140
202	11737	46084
203	11792	46015
204	11858	45989
205	11928	45978
206	11995	45953
207	12048	45875
208	12100	45797
209	12155	45726
210	12207	45648
211	12266	45594
212	12323	45533
213	12381	45476
214	12443	45431
215	12500	45370
216	12556	45309
217	12619	45269
218	12679	45218
219	12754	45219
220	12822	45199
221	12887	45163
222	12950	45124
223	13021	45109
224	13105	45140
225	13192	45181
226	13258	45150
227	13321	45107
228	13383	45058
229	13437	44987
230	13496	44931
231	13569	44921
232	13630	44868
233	13685	44800
234	13750	44762
235	13837	44797
236	13922	44822
237	13980	44762
238	14035	44691
239	14108	44676
240	14185	44673
241	14244	44618
242	14297	44541
243	14357	44483
244	14423	44446
245	14488	44407
246	14556	44375
247	14615	44317
248	14731	44432
249	14841	44524
250	14939	44581
251	15098	44815
252	15176	44810
253	15262	44827
254	15334	44800
255	15406	44773
256	15474	44737
257	15538	44687
258	15604	44645
259	15659	44570
260	15726	44528
261	15791	44481
262	15847	44408
263	15907	44348
264	15969	44293
265	16036	44252
266	16096	44189
267	16219	44299
268	16311	44326
269	16375	44273
270	16443	44234
271	16511	44192
272	16568	44121
273	16629	44061
274	16699	44025
275	16762	43971
276	16820	43903
277	16877	43831
278	16935	43765
279	17000	43715
280	17057	43645
281	17115	43576
282	17128	43395
283	17188	43334
284	17250	43277
285	17341	43293
286	17440	43327
287	17503	43271
288	17560	43203
289	17618	43135
290	17674	43062
291	17740	43014
292	17798	42947
293	17862	42894
294	17927	42842
295	17986	42778
296	18043	42708
297	18099	42636
298	18155	42565
299	18219	42513
300	18284	42460
301	18356	42425
302	18424	42382
303	18520	42402
304	18584	42347
305	18646	42290
306	18718	42253
307	18786	42207
308	18863	42183
309	18941	42159
310	19019	42136
311	19097	42111
312	19187	42115
313	19257	42072
314	19312	41996
315	19373	41934
316	19428	41859
317	19481	41781
318	19536	41706
319	19594	41638
320	19657	41581
321	19733	41551
322	19813	41527
323	19892	41504
324	19991	41521
325	20084	41524
326	20185	41544
327	20284	41558
328	20363	41531
329	20460	41541
330	20562	41560
331	20649	41547
332	20722	41507
333	20832	41539
334	20952	41591
335	21023	41546
336	21086	41483
337	21156	41436
338	21219	41375
339	21283	41315
340	21344	41249
341	21407	41186
342	21464	41114
343	21535	41068
344	21610	41028
345	21685	40989
346	21750	40930
347	21821	40884
348	21883	40820
349	21966	40795
350	22086	40837
351	22169	40812
352	22248	40777
353	22327	40744
354	22391	40683
355	22451	40615
356	22524	40569
357	22600	40528
358	22677	40490
359	22749	40443
360	22820	40394
361	22882	40329
362	22946	40267
363	23010	40204
364	23066	40128
365	23133	40073
366	23231	40069
367	23321	40052
368	23424	40056
369	23525	40056
370	23608	40025
371	23685	39985
372	23747	39919
373	23815	39861
374	23880	39800
375	23947	39741
376	24008	39674
377	24069	39605
378	24125	39530
379	24187	39464
380	24248	39396
381	24306	39323
382	24360	39244
383	24418	39172
384	24472	39092
385	24537	39031
386	24600	38966
387	24660	38897
388	24721	38829
389	24783	38764
390	24849	38703
391	24908	38633
392	24974	38574
393	25035	38506
394	25099	38443
395	25166	38385
396	25227	38317
397	25290	38253
398	25361	38201
399	25442	38163
400	25516	38116
401	25582	38054
402	25643	37987
403	25711	37930
404	25781	37876
405	25846	37814
406	25908	37748
407	25977	37692
408	26041	37629
409	26108	37571
410	26173	37508
411	26236	37443
412	26293	37371
413	26356	37306
414	26412	37231
415	26468	37158
416	26521	37078
417	26577	37004
418	26632	36929
419	26690	36857
420	26744	36781
421	26804	36713
422	26873	36656
423	26941	36599
424	27008	36541
425	27070	36475
426	27127	36402
427	27184	36330
428	27241	36258
429	27298	36186
430	27363	36124
431	27429	36064
432	27508	36022
433	27590	35982
434	27664	35931
435	27751	35898
436	27828	35851
437	27908	35810
438	27973	35747
439	28044	35692
440	28115	35639
441	28195	35594
442	28273	35548
443	28355	35508
444	28429	35456
445	28495	35395
446	28556	35328
447	28626	35271
448	28696	35215
449	28766	35159
450	28839	35106
451	28908	35048
452	28975	34987
453	29040	34925
454	29102	34859
455	29165	34793
456	29225	34725
457	29287	34658
458	29356	34601
459	29416	34532
460	29475	34462
461	29556	34418
462	29656	34395
463	29754	34372
464	29888	34387
465	29979	34353
466	30072	34322
467	30141	34263
468	30205	34198
469	30277	34142
470	30345	34081
471	30410	34018
472	30482	33962
473	30553	33905
474	30627	33851
475	30702	33798
476	30771	33738
477	30841	33680
478	30913	33624
479	30984	33566
480	31048	33501
481	31116	33440
482	31183	33378
483	31247	33313
484	31311	33248
485	31375	33182
486	31445	33124
487	31508	33058
488	31571	32991
489	31645	32937
490	31722	32885
491	31791	32825
492	31855	32760
493	31928	32703
494	32001	32648
495	32070	32587
496	32137	32525
497	32199	32457
498	32263	32392
499	32325	32325
500	32385	32256
501	32451	32192
502	32512	32124
503	32575	32058
504	32637	31991
505	32699	31924
506	32771	31866
507	32826	31792
508	32886	31723
509	32944	31652
510	33006	31585
511	33069	31519
512	33130	31451
513	33191	31383
514	33270	31332
515	33351	31283
516	33406	31209
517	33459	31134
518	33516	31062
519	33569	30987
520	33636	30925
521	33699	30858
522	33785	30813
523	33867	30765
524	33924	30693
525	33980	30621
526	34034	30546
527	34088	30473
528	34145	30402
529	34214	30341
530	34281	30279
531	34348	30216
532	34416	30154
533	34471	30081
534	34540	30021
535	34636	29983
536	34714	29930
537	34767	29856
538	34820	29781
539	34880	29713
540	34945	29648
541	35001	29576
542	35055	29503
543	35110	29430
544	35163	29356
545	35228	29292
546	35287	29223
547	35343	29151
548	35398	29079
549	35450	29005
550	35506	28933
551	35564	28863
552	35631	28801
553	35713	28751
554	35801	28705
555	35860	28636
556	35918	28566
557	35972	28494
558	36029	28424
559	36083	28351
560	36141	28281
561	36196	28210
562	36249	28136
563	36300	28062
564	36358	27992
565	36413	27921
566	36474	27854
567	36539	27790
568	36616	27735
569	36684	27674
570	36749	27610
571	36819	27550
572	36927	27518
573	36993	27454
574	37059	27391
575	37119	27324
576	37171	27250
577	37231	27182
578	37291	27115
579	37357	27052
580	37420	26986
581	37479	26918
582	37542	26852
583	37599	26782
584	37653	26711
585	37717	26646
586	37777	26579
587	37832	26508
588	37892	26441
589	37951	26372
590	38009	26304
591	38121	26273
592	38190	26211
593	38243	26139
594	38296	26067
595	38354	25998
596	38414	25931
597	38468	25860
598	38524	25790
599	38579	25719
600	38636	25650
601	38688	25578
602	38745	25509
603	38799	25437
604	38858	25370
605	38917	25302
606	38974	25233
607	39028	25163
608	39082	25092
609	39135	25021
610	39199	24957
611	39255	24887
612	39310	24817
613	39367	24748
614	39427	24682
615	39485	24614
616	39540	24544
617	39591	24472
618	39645	24401
619	39700	24332
620	39752	24260
621	39805	24190
622	39855	24118
623	39912	24049
624	39964	23978
625	40017	23908
626	40074	23839
627	40124	23767
628	40180	23699
629	40234	23629
630	40292	23562
631	40350	23495
632	40408	23427
633	40465	23360
634	40524	23293
635	40587	23229
636	40651	23165
637	40714	23101
638	40780	23038
639	40850	22978
640	40916	22915
641	40985	22854
642	41050	22791
643	41112	22726
644	41178	22664
645	41239	22598
646	41304	22535
647	41369	22472
648	41428	22405
649	41491	22341
650	41553	22276
651	41610	22209
652	41675	22146
653	41739	22082
654	41799	22016
655	41855	21948
656	41919	21884
657	41991	21825
658	42056	21761
659	42114	21695
660	42174	21629
661	42232	21562
662	42293	21497
663	42351	21430
664	42409	21364
665	42471	21299
666	42530	21233
667	42594	21169
668	42651	21102
669	42714	21038
670	42780	20975
671	42838	20909
672	42895	20842
673	42951	20774
674	43015	20711
675	43074	20645
676	43137	20581
677	43201	20517
678	43262	20452
679	43317	20384
680	43373	20317
681	43427	20249
682	43482	20181
683	43539	20114
684	43601	20050
685	43664	19986
686	43718	19918
687	43769	19849
688	43823	19780
689	43878	19713
690	43944	19650
691	44000	19584
692	44052	19515
693	44113	19450
694	44181	19389
695	44237	19322
696	44293	19255
697	44352	19189
698	44412	19124
699	44469	19058
700	44527	18992
701	44579	18923
702	44631	18855
703	44687	18788
704	44744	18722
705	44801	18656
706	44855	18589
707	44908	18521
708	44963	18454
709	45016	18387
710	45068	18318
711	45124	18252
712	45178	18185
713	45232	18118
714	45286	18051
715	45339	17983
716	45391	17915
717	45446	17849
718	45499	17782
719	45555	17716
720	45606	17647
721	45660	17581
722	45711	17513
723	45766	17446
724	45819	17379
725	45877	17314
726	45938	17250
727	45994	17184
728	46050	17118
729	46105	17052
730	46156	16984
731	46209	16918
732	46261	16851
733	46313	16783
734	46367	16717
735	46423	16652
736	46479	16586
737	46530	16519
738	46585	16453
739	46636	16385
740	46687	16318
741	46748	16255
742	46802	16188
743	46856	16122
744	46909	16056
745	46966	15991
746	47016	15923
747	47074	15859
748	47130	15794
749	47183	15727
750	47242	15663
751	47297	15598
752	47359	15534
753	47420	15471
754	47479	15407
755	47538	15343
756	47601	15280
757	47661	15216
758	47719	15152
759	47779	15088
760	47840	15024
761	47899	14960
762	47975	14901
763	48035	14838
764	48094	14774
765	48156	14711
766	48218	14647
767	48278	14584
768	48331	14518
769	48387	14453
770	48447	14389
771	48505	14325
772	48562	14261
773	48618	14196
774	48677	14132
775	48736	14068
776	48793	14003
777	48851	13939
778	48916	13877
779	48984	13816
780	49043	13752
781	49100	13687
782	49160	13624
783	49219	13560
784	49278	13496
785	49338	13433
786	49397	13369
787	49458	13306
788	49518	13242
789	49575	13178
790	49634	13114
791	49690	13049
792	49748	12985
793	49809	12922
794	49868	12859
795	49939	12798
796	49997	12734
797	50056	12670
798	50113	12606
799	50171	12542
800	50228	12478
801	50282	12413
802	50336	12349
803	50391	12284
804	50446	12219
805	50499	12155
806	50554	12090
807	50608	12025
808	50665	11961
809	50723	11898
810	50775	11832
811	50828	11768
812	50885	11704
813	50937	11639
814	50993	11575
815	51046	11510
816	51098	11445
817	51152	11381
818	51206	11316
819	51257	11251
820	51310	11187
821	51364	11122
822	51417	11058
823	51468	10993
824	51522	10929
825	51575	10864
826	51627	10799
827	51682	10735
828	51736	10671
829	51797	10609
830	51858	10546
831	51921	10484
832	51981	10421
833	52049	10360
834	52115	10298
835	52200	10240
836	52310	10187
837	52412	10132
838	52511	10076
839	52581	10015
840	52674	9958
841	52736	9895
842	52796	9832
843	52868	9771
844	52933	9709
845	52996	9647
846	53062	9585
847	53121	9521
848	53184	9459
849	53241	9395
850	53299	9332
851	53358	9268
852	53418	9205
853	53490	9144
854	53549	9081
855	53608	9018
856	53666	8954
857	53727	8891
858	53785	8828
859	53845	8765
860	53904	8702
861	53964	8639
862	54027	8576
863	54095	8515
864	54162	8453
865	54227	8390
866	54286	8327
867	54352	8265
868	54411	8202
869	54470	8139
870	54532	8076
871	54593	8013
872	54656	7951
873	54718	7888
874	54778	7825
875	54831	7761
876	54883	7697
877	54941	7634
878	54996	7570
879	55055	7507
880	55109	7443
881	55175	7381
882	55228	7317
883	55285	7254
884	55340	7191
885	55399	7128
886	55452	7064
887	55506	7000
888	55556	6936
889	55611	6873
890	55662	6809
891	55718	6746
892	55776	6683
893	55833	6620
894	55888	6556
895	55944	6493
896	55994	6429
897	56051	6366
898	56104	6303
899	56159	6239
900	56216	6176
901	56269	6113
902	56325	6050
903	56379	5987
904	56431	5923
905	56486	5860
906	56544	5797
907	56602	5735
908	56660	5672
909	56721	5609
910	56785	5547
911	56847	5485
912	56903	5422
913	56954	5358
914	57021	5297
915	57086	5234
916	57143	5172
917	57202	5109
918	57257	5046
919	57311	4983
920	57371	4921
921	57423	4857
922	57481	4795
923	57535	4732
924	57590	4669
925	57644	4606
926	57698	4543
927	57750	4480
928	57802	4417
929	57858	4354
930	57920	4292
931	57980	4230
932	58041	4168
933	58103	4105
934	58159	4043
935	58218	3980
936	58279	3918
937	58330	3855
938	58385	3792
939	58449	3730
940	58504	3668
941	58561	3605
942	58620	3543
943	58685	3481
944	58743	3418
945	58801	3356
946	58862	3294
947	58923	3232
948	58983	3169
949	59041	3107
950	59100	3045
951	59164	2983
952	59218	2920
953	59275	2858
954	59339	2796
955	59405	2734
956	59466	2671
957	59527	2609
958	59586	2547
959	59644	2485
960	59707	2423
961	59765	2360
962	59832	2298
963	59889	2236
964	59948	2174
965	60007	2112
966	60070	2049
967	60130	1987
968	60187	1925
969	60246	1863
970	60304	1801
971	60363	1738
972	60433	1676
973	60495	1614
974	60561	1552
975	60619	1490
976	60683	1428
977	60745	1366
978	60805	1304
979	60867	1242
980	60927	1180
981	60983	1117
982	61044	1055
983	61107	993
984	61164	931
985	61227	869
986	61288	807
987	61347	745
988	61412	683
989	61474	620
990	61536	558
991	61598	496
992	61657	434
993	61719	372
994	61769	310
995	61823	248
996	61876	186
997	61925	124
998	61979	62
999	62028	0
